focal_length_mm,f_number,distance_m,brightness_ratio,distance_ratio,total_signal_reduction,needed_compensation,available_compensation,can_compensate,final_exposure_ms,final_gain_db,signal_ratio,noise_ratio,estimated_snr,detection_status,is_reliable,is_detectable,fov_horizontal_m,fov_vertical_m,marker_projection_mm,marker_projection_pixels
35,2.9166666666666665,30.0,8.163265306122453,0.6944444444444445,5.668934240362815,0.1763999999999999,198.11164905763917,True,1.4111999999999991,0.0,1.0,2.3809523809523814,16.5858,✅ 可靠偵測,True,True,7.6002857142857145,5.660571428571429,0.23333333333333334,39
50,4.166666666666667,30.0,4.0,0.6944444444444445,2.777777777777778,0.35999999999999993,198.11164905763917,True,2.8799999999999994,0.0,0.9999999999999999,1.6666666666666665,23.694,✅ 可靠偵測,True,True,5.320200000000001,3.9624,0.3333333333333333,56
75,6.25,30.0,1.7777777777777781,0.6944444444444445,1.2345679012345683,0.8099999999999997,198.11164905763917,True,6.479999999999998,0.0,1.0,1.1111111111111112,35.541,✅ 可靠偵測,True,True,3.5468,2.6416,0.5,85
100,8.333333333333334,30.0,1.0,0.6944444444444445,0.6944444444444445,1.4399999999999997,198.11164905763917,True,11.519999999999998,0.0,0.9999999999999999,0.8333333333333333,47.388,✅ 可靠偵測,True,True,2.6601000000000004,1.9812,0.6666666666666666,113
135,11.25,30.0,0.5486968449931414,0.6944444444444445,0.3810394756896816,2.6243999999999987,198.11164905763917,True,20.99519999999999,0.0,0.9999999999999999,0.617283950617284,63.97379999999999,✅ 可靠偵測,True,True,1.9704444444444449,1.4675555555555557,0.9,153
150,12.5,30.0,0.44444444444444453,0.6944444444444445,0.30864197530864207,3.239999999999999,198.11164905763917,True,25.91999999999999,0.0,1.0,0.5555555555555556,71.082,✅ 可靠偵測,True,True,1.7734,1.3208,1.0,170
200,16.666666666666668,30.0,0.25,0.6944444444444445,0.17361111111111113,5.759999999999999,198.11164905763917,True,46.07999999999999,0.0,0.9999999999999999,0.41666666666666663,94.776,✅ 可靠偵測,True,True,1.3300500000000002,0.9906,1.3333333333333333,227
250,20.833333333333332,30.0,0.16000000000000006,0.6944444444444445,0.11111111111111116,8.999999999999996,198.11164905763917,True,71.99999999999997,0.0,1.0,0.33333333333333337,118.46999999999998,✅ 可靠偵測,True,True,1.06404,0.7924800000000001,1.6666666666666667,284
300,25.0,30.0,0.11111111111111113,0.6944444444444445,0.07716049382716052,12.959999999999996,198.11164905763917,True,100.0,0.31389977053036,1.0,0.2932513242936849,134.66264848117655,✅ 可靠偵測,True,True,0.8867,0.6604,2.0,341
400,33.333333333333336,30.0,0.0625,0.6944444444444445,0.04340277777777778,23.039999999999996,198.11164905763917,True,100.0,5.3114492348623585,0.9999999999999999,0.5213356876332176,75.74773977066181,✅ 可靠偵測,True,True,0.6650250000000001,0.4953,2.6666666666666665,455
500,41.666666666666664,30.0,0.040000000000000015,0.6944444444444445,0.02777777777777779,35.999999999999986,198.11164905763917,True,100.0,9.187849755184613,1.0,0.8145870119269024,48.47855345322357,✅ 可靠偵測,True,True,0.53202,0.39624000000000004,3.3333333333333335,568
